epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,80.0178,0.84595,0.89189,1,0.34806,0.000368972,0.000368972,0.000368972
2,157.544,0.44113,0.85811,1,0.31103,0.000724667,0.000724667,0.000724667
3,246.452,0.42122,0.85811,1,0.37794,0.0010657,0.0010657,0.0010657
4,335.86,0.4363,0.85811,1,0.44437,0.00104501,0.00104501,0.00104501
5,426.23,0.37017,0.91216,1,0.25527,0.00102301,0.00102301,0.00102301
6,515.719,0.33801,0.89865,1,0.32184,0.00100101,0.00100101,0.00100101
7,605.136,0.28507,0.89865,1,0.24591,0.000979013,0.000979013,0.000979013
8,700.68,0.26891,0.93919,1,0.15856,0.000957015,0.000957015,0.000957015
9,793.31,0.20847,0.89189,1,0.33275,0.000935018,0.000935018,0.000935018
10,891.164,0.222,0.92568,1,0.21368,0.00091302,0.00091302,0.00091302
11,993.201,0.20752,0.91216,1,0.24527,0.000891022,0.000891022,0.000891022
12,1093.23,0.18371,0.93919,1,0.22628,0.000869024,0.000869024,0.000869024
13,1196.78,0.17274,0.93919,1,0.20306,0.000847026,0.000847026,0.000847026
14,1289.48,0.15393,0.93919,1,0.11754,0.000825029,0.000825029,0.000825029
15,1374.22,0.12566,0.92568,1,0.27075,0.000803031,0.000803031,0.000803031
16,1459.61,0.13781,0.9527,1,0.12023,0.000781033,0.000781033,0.000781033
17,1544.07,0.13158,0.93243,1,0.22097,0.000759035,0.000759035,0.000759035
18,1632.89,0.12362,0.89865,1,0.25796,0.000737037,0.000737037,0.000737037
19,1728.5,0.13292,0.91892,1,0.21711,0.00071504,0.00071504,0.00071504
20,1820.21,0.10394,0.93243,1,0.20724,0.000693042,0.000693042,0.000693042
21,1911.25,0.11001,0.91892,1,0.19484,0.000671044,0.000671044,0.000671044
22,1998.65,0.09686,0.94595,1,0.12177,0.000649046,0.000649046,0.000649046
23,2083.9,0.08325,0.94595,1,0.13621,0.000627048,0.000627048,0.000627048
24,2168.53,0.0815,0.95946,1,0.10245,0.000605051,0.000605051,0.000605051
25,2253.17,0.09416,0.93243,1,0.20347,0.000583053,0.000583053,0.000583053
26,2337.42,0.08471,0.9527,1,0.16829,0.000561055,0.000561055,0.000561055
27,2421.73,0.08151,0.95946,1,0.1544,0.000539057,0.000539057,0.000539057
28,2505.73,0.08301,0.94595,1,0.1927,0.000517059,0.000517059,0.000517059
29,2589.82,0.07366,0.98649,1,0.08624,0.000495062,0.000495062,0.000495062
30,2674.68,0.06403,0.93243,1,0.17729,0.000473064,0.000473064,0.000473064
31,2759.36,0.05379,0.92568,1,0.19516,0.000451066,0.000451066,0.000451066
32,2844.74,0.06017,0.9527,1,0.25484,0.000429068,0.000429068,0.000429068
33,2930.52,0.0463,0.9527,1,0.16235,0.00040707,0.00040707,0.00040707
34,3015.99,0.05842,0.94595,1,0.14783,0.000385073,0.000385073,0.000385073
35,3100.91,0.05631,0.97297,1,0.07957,0.000363075,0.000363075,0.000363075
36,3186.06,0.0514,0.96622,1,0.07758,0.000341077,0.000341077,0.000341077
37,3271.61,0.05719,0.95946,1,0.12761,0.000319079,0.000319079,0.000319079
38,3356.06,0.04021,0.95946,1,0.14788,0.000297081,0.000297081,0.000297081
39,3441.2,0.0431,0.95946,1,0.1249,0.000275084,0.000275084,0.000275084
