epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,173.928,0.82088,0.82677,1,0.4531,0.000369439,0.000369439,0.000369439
2,396.158,0.53874,0.79615,1,0.52287,0.000725125,0.000725125,0.000725125
3,616.512,0.53932,0.75941,1,0.60519,0.00106615,0.00106615,0.00106615
4,792.459,0.50948,0.83115,1,0.45821,0.00104501,0.00104501,0.00104501
5,965.942,0.46051,0.82502,1,0.43658,0.00102301,0.00102301,0.00102301
6,1145.02,0.41836,0.85827,1,0.3781,0.00100101,0.00100101,0.00100101
7,1332.16,0.38149,0.88189,1,0.3444,0.000979013,0.000979013,0.000979013
8,1514.74,0.35984,0.85127,1,0.3786,0.000957015,0.000957015,0.000957015
9,1695.3,0.32694,0.87052,1,0.34101,0.000935018,0.000935018,0.000935018
10,1874.14,0.32607,0.88976,1,0.31254,0.00091302,0.00091302,0.00091302
11,2050.7,0.29736,0.88014,1,0.30912,0.000891022,0.000891022,0.000891022
12,2227.11,0.27555,0.88451,1,0.33597,0.000869024,0.000869024,0.000869024
13,2402.25,0.25924,0.88101,1,0.35211,0.000847026,0.000847026,0.000847026
14,2580.4,0.25039,0.90201,1,0.28973,0.000825029,0.000825029,0.000825029
15,2756.66,0.25604,0.90376,1,0.31711,0.000803031,0.000803031,0.000803031
16,2950.44,0.22912,0.90464,1,0.2682,0.000781033,0.000781033,0.000781033
17,3217.05,0.21934,0.90814,1,0.26663,0.000759035,0.000759035,0.000759035
18,3478.79,0.21232,0.90901,1,0.2639,0.000737037,0.000737037,0.000737037
19,3741.95,0.2002,0.89851,1,0.29806,0.00071504,0.00071504,0.00071504
20,3950.46,0.19247,0.89151,1,0.31805,0.000693042,0.000693042,0.000693042
21,4153.38,0.17711,0.90464,1,0.2736,0.000671044,0.000671044,0.000671044
22,4364.77,0.1696,0.90726,1,0.30548,0.000649046,0.000649046,0.000649046
23,4575.34,0.17756,0.90726,1,0.27853,0.000627048,0.000627048,0.000627048
24,4791.07,0.14701,0.91339,1,0.29315,0.000605051,0.000605051,0.000605051
25,4979.45,0.16091,0.91076,1,0.26277,0.000583053,0.000583053,0.000583053
26,5169.38,0.13056,0.90551,1,0.2903,0.000561055,0.000561055,0.000561055
27,5344.39,0.13039,0.90814,1,0.29499,0.000539057,0.000539057,0.000539057
28,5543.49,0.12496,0.90464,1,0.29421,0.000517059,0.000517059,0.000517059
29,5723.5,0.11395,0.91601,1,0.28461,0.000495062,0.000495062,0.000495062
30,5902.31,0.1137,0.92301,1,0.2584,0.000473064,0.000473064,0.000473064
31,6081.42,0.10813,0.91514,1,0.28192,0.000451066,0.000451066,0.000451066
32,6258.14,0.10363,0.91251,1,0.28376,0.000429068,0.000429068,0.000429068
33,6426.34,0.09608,0.91951,1,0.29116,0.00040707,0.00040707,0.00040707
34,6591.28,0.09241,0.90814,1,0.32091,0.000385073,0.000385073,0.000385073
35,6768.32,0.09678,0.92913,1,0.29595,0.000363075,0.000363075,0.000363075
36,6940.01,0.08757,0.92038,1,0.3037,0.000341077,0.000341077,0.000341077
37,7108.97,0.07568,0.92388,1,0.26584,0.000319079,0.000319079,0.000319079
38,7277.9,0.07054,0.91951,1,0.28038,0.000297081,0.000297081,0.000297081
39,7448.59,0.07373,0.92651,1,0.28157,0.000275084,0.000275084,0.000275084
40,7619.49,0.0624,0.92476,1,0.27631,0.000253086,0.000253086,0.000253086
41,7788.46,0.06381,0.92913,1,0.29052,0.000231088,0.000231088,0.000231088
42,7957.91,0.06497,0.93263,1,0.30359,0.00020909,0.00020909,0.00020909
43,8128.63,0.05764,0.93001,1,0.28739,0.000187092,0.000187092,0.000187092
44,8295.75,0.05238,0.93351,1,0.26381,0.000165095,0.000165095,0.000165095
45,8474.38,0.04557,0.93263,1,0.29563,0.000143097,0.000143097,0.000143097
46,8642.34,0.0534,0.94138,1,0.26688,0.000121099,0.000121099,0.000121099
47,8809.99,0.0506,0.93701,1,0.27386,9.91012e-05,9.91012e-05,9.91012e-05
48,8976.33,0.03947,0.94051,1,0.27837,7.71034e-05,7.71034e-05,7.71034e-05
49,9144.71,0.04175,0.93351,1,0.27321,5.51056e-05,5.51056e-05,5.51056e-05
50,9312.69,0.04674,0.93526,1,0.27108,3.31078e-05,3.31078e-05,3.31078e-05
