epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.2716,1.18368,0,0,0,0.000332305,0.000332305,0.000332305
2,54.3235,0.67923,0,0,0,0.000659048,0.000659048,0.000659048
3,82.1968,0.53206,0,0,0,0.000979192,0.000979192,0.000979192
4,111.083,0.47546,0,0,0,0.0009703,0.0009703,0.0009703
5,137.877,0.45259,0,0,0,0.0009604,0.0009604,0.0009604
6,164.158,0.40044,0,0,0,0.0009505,0.0009505,0.0009505
7,189.748,0.37886,0,0,0,0.0009406,0.0009406,0.0009406
8,214.05,0.37197,0,0,0,0.0009307,0.0009307,0.0009307
9,238.527,0.34773,0,0,0,0.0009208,0.0009208,0.0009208
10,264.262,0.3275,0,0,0,0.0009109,0.0009109,0.0009109
11,290.982,0.3046,0,0,0,0.000901,0.000901,0.000901
12,318.281,0.30049,0,0,0,0.0008911,0.0008911,0.0008911
13,346.049,0.29719,0,0,0,0.0008812,0.0008812,0.0008812
14,373.253,0.28835,0,0,0,0.0008713,0.0008713,0.0008713
15,400.837,0.28134,0,0,0,0.0008614,0.0008614,0.0008614
16,430.172,0.25276,0,0,0,0.0008515,0.0008515,0.0008515
17,458.314,0.2477,0,0,0,0.0008416,0.0008416,0.0008416
18,486.009,0.25721,0,0,0,0.0008317,0.0008317,0.0008317
19,515.236,0.21704,0,0,0,0.0008218,0.0008218,0.0008218
20,545.401,0.23377,0,0,0,0.0008119,0.0008119,0.0008119
21,574.717,0.24335,0,0,0,0.000802,0.000802,0.000802
22,602.493,0.22242,0,0,0,0.0007921,0.0007921,0.0007921
23,630.985,0.23439,0,0,0,0.0007822,0.0007822,0.0007822
24,665.19,0.22982,0,0,0,0.0007723,0.0007723,0.0007723
25,697.309,0.21812,0,0,0,0.0007624,0.0007624,0.0007624
26,728.644,0.20401,0,0,0,0.0007525,0.0007525,0.0007525
27,759.47,0.21461,0,0,0,0.0007426,0.0007426,0.0007426
28,790.331,0.21149,0,0,0,0.0007327,0.0007327,0.0007327
29,820.962,0.2149,0,0,0,0.0007228,0.0007228,0.0007228
30,851.499,0.19992,0,0,0,0.0007129,0.0007129,0.0007129
31,881.891,0.19045,0,0,0,0.000703,0.000703,0.000703
32,911.432,0.18737,0,0,0,0.0006931,0.0006931,0.0006931
33,940.573,0.18757,0,0,0,0.0006832,0.0006832,0.0006832
34,966.461,0.1972,0,0,0,0.0006733,0.0006733,0.0006733
35,991.621,0.18176,0,0,0,0.0006634,0.0006634,0.0006634
36,1016.65,0.17678,0,0,0,0.0006535,0.0006535,0.0006535
37,1041.99,0.18498,0,0,0,0.0006436,0.0006436,0.0006436
38,1067.82,0.17838,0,0,0,0.0006337,0.0006337,0.0006337
39,1093.1,0.19094,0,0,0,0.0006238,0.0006238,0.0006238
40,1118.49,0.16994,0,0,0,0.0006139,0.0006139,0.0006139
41,1144.9,0.15903,0,0,0,0.000604,0.000604,0.000604
42,1170.54,0.16946,0,0,0,0.0005941,0.0005941,0.0005941
43,1196.23,0.18584,0,0,0,0.0005842,0.0005842,0.0005842
44,1222.54,0.17097,0,0,0,0.0005743,0.0005743,0.0005743
45,1256.52,0.17013,0,0,0,0.0005644,0.0005644,0.0005644
46,1286.23,0.17681,0,0,0,0.0005545,0.0005545,0.0005545
47,1317.88,0.1588,0,0,0,0.0005446,0.0005446,0.0005446
48,1348.07,0.15368,0,0,0,0.0005347,0.0005347,0.0005347
49,1376.07,0.15606,0,0,0,0.0005248,0.0005248,0.0005248
50,1406.1,0.16494,0,0,0,0.0005149,0.0005149,0.0005149
51,1434.72,0.157,0,0,0,0.000505,0.000505,0.000505
52,1465.09,0.1515,0,0,0,0.0004951,0.0004951,0.0004951
53,1491.99,0.14974,0,0,0,0.0004852,0.0004852,0.0004852
54,1520.48,0.16286,0,0,0,0.0004753,0.0004753,0.0004753
55,1548.87,0.14758,0,0,0,0.0004654,0.0004654,0.0004654
56,1575.91,0.14234,0,0,0,0.0004555,0.0004555,0.0004555
57,1608.77,0.14138,0,0,0,0.0004456,0.0004456,0.0004456
58,1638.35,0.14745,0,0,0,0.0004357,0.0004357,0.0004357
59,1665.72,0.13621,0,0,0,0.0004258,0.0004258,0.0004258
60,1693.05,0.13663,0,0,0,0.0004159,0.0004159,0.0004159
61,1720.92,0.14148,0,0,0,0.000406,0.000406,0.000406
62,1748.44,0.129,0,0,0,0.0003961,0.0003961,0.0003961
63,1778.08,0.14158,0,0,0,0.0003862,0.0003862,0.0003862
64,1806.02,0.14279,0,0,0,0.0003763,0.0003763,0.0003763
65,1832.42,0.14649,0,0,0,0.0003664,0.0003664,0.0003664
66,1858.73,0.13781,0,0,0,0.0003565,0.0003565,0.0003565
67,1885.35,0.13487,0,0,0,0.0003466,0.0003466,0.0003466
68,1910.92,0.13633,0,0,0,0.0003367,0.0003367,0.0003367
69,1936.11,0.13066,0,0,0,0.0003268,0.0003268,0.0003268
70,1961.27,0.13018,0,0,0,0.0003169,0.0003169,0.0003169
71,1986.52,0.12985,0,0,0,0.000307,0.000307,0.000307
72,2011.86,0.12521,0,0,0,0.0002971,0.0002971,0.0002971
73,2037.36,0.13115,0,0,0,0.0002872,0.0002872,0.0002872
74,2064.01,0.11923,0,0,0,0.0002773,0.0002773,0.0002773
75,2089.38,0.13113,0,0,0,0.0002674,0.0002674,0.0002674
76,2114.71,0.121,0,0,0,0.0002575,0.0002575,0.0002575
77,2140.76,0.12593,0,0,0,0.0002476,0.0002476,0.0002476
78,2165.88,0.13639,0,0,0,0.0002377,0.0002377,0.0002377
79,2190.98,0.1172,0,0,0,0.0002278,0.0002278,0.0002278
80,2216.85,0.13317,0,0,0,0.0002179,0.0002179,0.0002179
81,2242.26,0.13114,0,0,0,0.000208,0.000208,0.000208
82,2267.34,0.12261,0,0,0,0.0001981,0.0001981,0.0001981
83,2293.72,0.12324,0,0,0,0.0001882,0.0001882,0.0001882
84,2319.69,0.12652,0,0,0,0.0001783,0.0001783,0.0001783
85,2345.04,0.11488,0,0,0,0.0001684,0.0001684,0.0001684
86,2371.14,0.11923,0,0,0,0.0001585,0.0001585,0.0001585
87,2396.61,0.11869,0,0,0,0.0001486,0.0001486,0.0001486
88,2422.87,0.11771,0,0,0,0.0001387,0.0001387,0.0001387
89,2448.96,0.11522,0,0,0,0.0001288,0.0001288,0.0001288
90,2474.37,0.12777,0,0,0,0.0001189,0.0001189,0.0001189
91,2501.06,0.11089,0,0,0,0.000109,0.000109,0.000109
92,2526.34,0.11305,0,0,0,9.91e-05,9.91e-05,9.91e-05
93,2551.85,0.11489,0,0,0,8.92e-05,8.92e-05,8.92e-05
94,2578.23,0.12158,0,0,0,7.93e-05,7.93e-05,7.93e-05
95,2605.32,0.1138,0,0,0,6.94e-05,6.94e-05,6.94e-05
96,2631.3,0.1155,0,0,0,5.95e-05,5.95e-05,5.95e-05
97,2656.86,0.11279,0,0,0,4.96e-05,4.96e-05,4.96e-05
98,2682.32,0.11207,0,0,0,3.97e-05,3.97e-05,3.97e-05
99,2709.66,0.10917,0,0,0,2.98e-05,2.98e-05,2.98e-05
100,2743.55,0.11364,0.71457,0.98425,3.28345,1.99e-05,1.99e-05,1.99e-05
