epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,452.473,2.37559,3.70368,1.9859,0.51802,0.1217,0.10775,0.04251,2.55027,3.63067,2.30828,0.000369871,0.000369871,0.000369871
2,986.782,2.45065,3.36784,2.13383,0.33057,0.19306,0.09693,0.04313,2.50074,3.42707,2.27849,0.000732876,0.000732876,0.000732876
3,1523.28,2.41804,3.2688,2.09096,0.32803,0.14401,0.08201,0.03511,2.46381,3.46233,2.25853,0.00108855,0.00108855,0.00108855
4,2091.84,2.38467,3.25821,2.05046,0.50264,0.16666,0.12162,0.05548,2.36972,3.2886,2.12499,0.001078,0.001078,0.001078
5,2609.69,2.31439,3.09552,2.0085,0.44147,0.20885,0.15892,0.06836,2.31128,3.00274,2.08702,0.001067,0.001067,0.001067
6,3087.88,2.2516,2.98362,1.96634,0.38511,0.17313,0.13679,0.06483,2.25172,3.07857,2.06939,0.00105601,0.00105601,0.00105601
7,3525.68,2.19594,2.83282,1.92237,0.52536,0.18429,0.1644,0.07956,2.18081,2.73728,2.00212,0.00104501,0.00104501,0.00104501
8,3943.08,2.14764,2.7825,1.89169,0.46509,0.24134,0.20414,0.10036,2.158,2.66457,1.97434,0.00103401,0.00103401,0.00103401
9,4297.18,2.11647,2.65751,1.87135,0.4747,0.26619,0.19364,0.08905,2.13766,2.73543,1.98664,0.00102301,0.00102301,0.00102301
10,4651.69,2.09597,2.63163,1.88021,0.54699,0.2968,0.25575,0.12408,2.08465,2.52427,1.9556,0.00101201,0.00101201,0.00101201
11,4966.46,2.06463,2.61003,1.84084,0.45582,0.27246,0.20453,0.09262,2.08456,2.48914,1.95846,0.00100101,0.00100101,0.00100101
12,5301.69,2.02439,2.47322,1.80988,0.47859,0.30955,0.22289,0.09913,2.03988,2.49636,1.8882,0.000990012,0.000990012,0.000990012
13,5727.66,2.0073,2.44096,1.78133,0.4696,0.29654,0.26437,0.11822,2.03633,2.48403,1.8986,0.000979013,0.000979013,0.000979013
14,6141.94,1.99242,2.3698,1.77408,0.49224,0.28883,0.22533,0.1,2.04624,2.54526,1.92046,0.000968014,0.000968014,0.000968014
15,6546.28,1.98028,2.3417,1.77208,0.55268,0.30516,0.27691,0.12367,2.01079,2.4065,1.86079,0.000957015,0.000957015,0.000957015
16,6988.11,1.95712,2.30839,1.75623,0.4346,0.31716,0.21601,0.09688,1.97464,2.39192,1.86073,0.000946016,0.000946016,0.000946016
17,7412.82,1.96295,2.29936,1.75868,0.58977,0.3156,0.34105,0.16609,1.98315,2.35484,1.88604,0.000935018,0.000935018,0.000935018
18,7776.09,1.94015,2.24291,1.75104,0.55903,0.35071,0.32093,0.15641,1.97487,2.33483,1.86414,0.000924019,0.000924019,0.000924019
19,8101,1.93103,2.24208,1.73836,0.51853,0.34778,0.29348,0.14677,1.98456,2.40458,1.87191,0.00091302,0.00091302,0.00091302
20,8429.62,1.90334,2.149,1.71608,0.5095,0.32218,0.30507,0.14864,1.94802,2.39596,1.79906,0.000902021,0.000902021,0.000902021
21,8766.33,1.88001,2.11616,1.70208,0.59021,0.33145,0.31559,0.15078,1.96101,2.19076,1.8366,0.000891022,0.000891022,0.000891022
22,9105.65,1.8812,2.10631,1.702,0.44596,0.41494,0.36781,0.17221,1.93544,2.1842,1.82031,0.000880023,0.000880023,0.000880023
23,9442.72,1.89878,2.11316,1.69899,0.491,0.46649,0.37175,0.17185,1.96255,2.16811,1.83552,0.000869024,0.000869024,0.000869024
24,9782.23,1.87258,2.04631,1.69487,0.52566,0.39028,0.40253,0.20399,1.97765,2.14275,1.87855,0.000858025,0.000858025,0.000858025
25,10104.6,1.83761,1.99237,1.66725,0.44662,0.4603,0.37206,0.17984,1.9508,2.11834,1.81784,0.000847026,0.000847026,0.000847026
